name,2010EIIE,2010ECPD,2011EIIE,2012ECPD,2012EIIE,2013ECPD,2013EIIE,2014ECPD,2014EIIE,2015ECPD,2015EIIE,2016ECPD,2016EIIE,2017ECPD,2017EIIE,2018ECPD,2018EIIE,2019ECPD,2019EIIE,2020ECPD,2020EIIE,2021ECPD,2021EIIE,2022ECPD,2022EIIE,2023ECPD,2023EIIE,2024ECPD,2024EIIE
三明市,0.0316007,2.7380492,0.033208,2.7997273,0.0335679,2.8455883,0.0369171,2.8628148,0.0352239,2.8819767,0.0356218,2.9382778,0.0366499,2.980235,0.0311043,3.038618,0.0297336,3.1083836,0.0332346,3.1705331,0.0301487,3.2401055,0.0300615,3.2957794,0.0333462,3.3523618,0.0326295,3.4089441,0.0319128
景德镇市,0.0169862,1.0461415,0.0189897,1.0546632,0.0179323,1.0647598,0.0168721,1.0765064,0.0179272,1.0681221,0.0174467,1.1002982,0.0198859,1.0873984,0.019936,1.071555,0.0172639,1.0876594,0.0184,1.195963,0.0211081,1.2001337,0.0205834,1.1301977,0.0192933,1.061723,0.0189299,0.9932482,0.0185664
大连市,0.0266255,1.3571774,0.0273908,1.4861228,0.0284449,1.5996375,0.0274356,1.7369416,0.0275514,1.849507,0.0295557,1.9651607,0.0304449,2.1238607,0.0309998,2.2981901,0.0313515,2.4508147,0.0324061,2.6953664,0.0330602,2.862849,0.0344309,3.1340809,0.0344876,3.4044095,0.0374247,3.6747381,0.0403617
攀枝花市,0.0155755,1.4347538,0.0172128,1.4462132,0.0181879,1.4667374,0.0190306,1.4837528,0.0186959,1.3172562,0.0193799,1.3416703,0.0204205,1.3763728,0.0199747,1.3839069,0.0201421,1.3963356,0.0226733,1.4102935,0.0222344,1.4244634,0.0217161,1.4406924,0.0215292,1.4564855,0.0197449,1.4722786,0.0179606
贺州市,0.0261227,1.2931091,0.0254914,1.3405281,0.0255012,1.5236191,0.0266152,1.5163073,0.0271274,1.2696802,0.0255716,1.2631885,0.0242434,1.2493774,0.0243831,1.2423502,0.0237254,1.2413701,0.0239769,1.2714323,0.0256042,1.2879003,0.0231671,1.2970786,0.0224625,1.3035267,0.0229988,1.3099748,0.023535
西安市,0.0222293,0.51037749,0.0236573,0.55214846,0.0244627,0.5916574,0.0243362,0.58730083,0.0240966,0.62181798,0.0248309,0.65081832,0.0247587,0.59007512,0.0256774,0.5233953,0.0259781,0.56130497,0.0264489,0.57841401,0.0269415,0.59216887,0.0277469,0.60841344,0.0370669,0.62451396,0.0407957,0.64061447,0.0445246
淮北市,0.0178895,0.60959928,0.0176209,0.66695997,0.0173812,0.74145411,0.0168982,0.77653174,0.0171528,0.77015243,0.0187915,0.79697074,0.0195451,0.80457954,0.0192704,0.82647078,0.017925,0.90264771,0.0192814,0.96559042,0.0201193,1.0164342,0.0210546,1.0789475,0.0201565,1.1414752,0.0204341,1.2040028,0.0207117
邵阳市,0.0263222,0.7727235,0.0268148,0.80822521,0.027114,0.83389944,0.0254325,0.86384959,0.0252623,0.90809663,0.0269709,0.95092038,0.0286011,0.90387072,0.0267386,0.91679156,0.0258482,1.0415385,0.0279466,1.1711541,0.027264,1.19416,0.028726,1.2399545,0.0300758,1.2858344,0.0280469,1.3317142,0.026018
石家庄市,0.0236136,0.8868087,0.0248517,0.92233652,0.025116,1.0017465,0.0234758,0.96526508,0.0240714,0.96926613,0.02528,0.97363427,0.0250688,0.76722783,0.0259452,0.82182964,0.0269975,0.81353138,0.0270684,0.82611918,0.0285355,0.79526084,0.0289129,0.77660629,0.029435,0.76347741,0.0330303,0.75034852,0.0366256
汕尾市,0.0179847,0.53758417,0.0170934,0.54261057,0.0174551,0.54541569,0.0178446,0.54213092,0.0175763,0.54364378,0.0170178,0.55103175,0.017175,0.55539738,0.0176107,0.57209451,0.0193385,0.57673972,0.022661,0.58436601,0.0333032,0.59613017,0.064605,0.60529145,0.15481,0.61445321,0.4230602,0.62361496,0.6913104
荆门市,0.0247908,1.2148331,0.023462,1.2156157,0.0221994,1.233014,0.0239509,1.2474331,0.0251942,1.2516778,0.0249637,1.2664066,0.0252069,1.2712717,0.0259932,1.2822947,0.0275314,1.3010302,0.0270529,1.4174956,0.0273767,1.4656982,0.0276796,1.4945172,0.028345,1.5225775,0.030043,1.5506378,0.0317411
衢州市,0.0207813,1.1058951,0.0214254,1.1142516,0.0223215,1.1186733,0.0228669,1.1148116,0.0235889,1.1178078,0.0234072,1.1294991,0.0248525,1.4699716,0.0239398,1.4279622,0.0236852,1.4800985,0.0249041,1.4866156,0.0250931,1.4662685,0.0247825,1.3987852,0.025731,1.3312504,0.0248798,1.2637156,0.0240285
宜宾市,0.0176735,0.76068348,0.0180318,0.80888836,0.0198561,0.84973958,0.0200104,0.87883541,0.0208462,0.65624542,0.0224827,0.67533745,0.0213849,0.68564682,0.0211663,0.68919016,0.0222251,0.69403781,0.0221451,0.69677973,0.0230345,0.69850145,0.0224658,0.69139351,0.0236242,0.68422954,0.024683,0.67706558,0.0257418
葫芦岛市,0.020966,0.98721666,0.0241347,1.0130019,0.0234799,1.0363235,0.0222374,1.0456438,0.0214071,1.0393446,0.0231052,1.0563791,0.0238172,0.99991477,0.0230289,1.0216696,0.0222062,1.0627945,0.0238464,1.0860179,0.0259139,1.1068882,0.0269908,1.1307023,0.0259893,1.1543564,0.0267541,1.1780106,0.0275188
济南市,0.0218172,1.033029,0.0227571,1.0896094,0.0231417,1.1275448,0.0231042,1.1563498,0.0233734,1.150693,0.0241497,1.1954065,0.0247032,1.1585905,0.0243469,1.1483281,0.024241,0.9926822,0.024621,0.8619826,0.0247196,0.77347585,0.0251817,0.71045223,0.0319574,0.66462088,0.033225,0.61878953,0.0344926
贵阳市,0.0198045,0.60698978,0.0205843,0.65235729,0.0208501,0.68732919,0.0222532,0.79568651,0.022464,0.66890771,0.0230496,0.69870332,0.0231479,0.70830891,0.0236633,0.71556119,0.0231853,0.7210121,0.0231247,0.75218037,0.0236496,0.78353833,0.0246522,0.80952432,0.0272383,0.83595481,0.0280473,0.8623853,0.0288563
珠海市,0.0181783,0.70006291,0.0186957,0.71587066,0.0177333,0.72592835,0.0185355,0.72130231,0.0183502,0.69210989,0.0182287,1.4171559,0.0186191,0.73882338,0.0194221,1.1056551,0.0196647,0.92669415,0.0192253,1.1165923,0.0199196,1.1177162,0.0201109,0.98888665,0.0221349,0.87093101,0.0241145,0.75297538,0.0260941
长春市,0.0274598,0.9869056,0.027329,1.0571404,0.0281807,1.1298968,0.0253159,1.1681126,0.0251438,1.1976316,0.0262394,1.2020734,0.0265935,1.1325189,0.0266339,1.1570671,0.0265992,1.2878869,0.0283046,1.5035671,0.0300264,1.5102861,0.030861,1.5168167,0.0350551,1.5233114,0.0355319,1.5298062,0.0360088
萍乡市,0.0149317,0.75629752,0.0158758,0.78692931,0.0153381,0.81941948,0.0165293,0.84154962,0.015574,0.84941398,0.0170697,0.87881593,0.0180427,0.8951058,0.0184661,0.93522525,0.0178062,0.9888618,0.0192226,1.0467368,0.0210351,1.1001542,0.0197317,1.1531702,0.0193215,1.2061809,0.0202965,1.2591915,0.0212714
庆阳市,0.0255867,1.4806162,0.0254247,1.5783581,0.0261428,1.603974,0.024984,1.6064713,0.0241718,1.6351188,0.0248714,1.6170761,0.0261883,1.4547414,0.0248935,1.5148432,0.0255838,1.6173874,0.0263439,1.689877,0.0271015,1.7782096,0.0266094,1.8432791,0.0285051,1.9083486,0.0310987,1.9734181,0.0336923
泉州市,0.0163666,0.6616172,0.0178357,0.67666679,0.0182267,0.68664617,0.0199624,0.68734363,0.0202036,0.68106974,0.0214324,0.69077186,0.0217511,0.68486041,0.0215946,0.68672705,0.0223141,0.69669158,0.0212836,0.71597636,0.0216388,0.73630764,0.0212782,0.75212855,0.0232078,0.76795917,0.0243333,0.78378978,0.0254588
自贡市,0.0162193,0.61911194,0.014918,0.66386806,0.0170452,0.68674087,0.0177392,0.67392249,0.0186624,0.47848966,0.0172813,0.50094621,0.0179514,0.52547463,0.0179282,0.52314136,0.0185358,0.52758221,0.0194942,0.53341444,0.0200018,0.53605415,0.0205566,0.53077776,0.0220887,0.52520015,0.022127,0.51962254,0.0221654
临沂市,0.0231635,0.56400069,0.0234748,0.59256405,0.0230408,0.60577086,0.0237575,0.61712172,0.0230233,0.58588875,0.0243988,0.63462592,0.0249535,0.64098867,0.0244481,0.66090303,0.0244047,0.67766275,0.0239725,0.69664408,0.0259554,0.71650139,0.0278291,0.73887747,0.0282682,0.76107209,0.0291404,0.78326671,0.0300126
百色市,0.0243742,1.9542161,0.0258959,1.8373571,0.0250593,1.8325743,0.0244227,1.822576,0.0264221,1.8194277,0.0258841,1.811743,0.02656,1.8059085,0.0290584,1.8028122,0.0301928,1.7973218,0.0305385,1.795873,0.0292037,1.7942361,0.0300424,1.7821069,0.0288859,1.7703601,0.0285903,1.7586133,0.0282947
鞍山市,0.019919,1.4530016,0.0208684,1.5099836,0.0220554,1.246644,0.0207831,1.6397982,0.0205266,1.6677844,0.0221394,1.274903,0.0220464,1.3059339,0.0215212,1.3711057,0.0215843,1.4484558,0.0214757,1.5309802,0.0231132,1.6095024,0.0237324,1.6902965,0.0241155,1.7711026,0.0246667,1.8519087,0.0252178
铜陵市,0.0127566,2.2816931,0.0131213,2.3988197,0.0141493,2.5385108,0.0148425,2.6583953,0.0136409,2.7067726,0.0171969,1.1965487,0.0154761,1.1902132,0.0149016,1.1227547,0.0141723,1.1684758,0.0155466,1.2080061,0.0168168,1.2538461,0.0160361,1.2740541,0.0159635,1.2942621,0.0160188,1.3144701,0.0160741
唐山市,0.0232552,1.230642,0.0233804,1.3268835,0.0235737,1.3846668,0.0226073,1.4071931,0.0236662,1.429697,0.0247099,1.4618112,0.0251673,1.1979767,0.0258937,1.2341655,0.0252657,1.3369017,0.0265597,1.4052138,0.0266053,1.3865679,0.0272816,1.4409902,0.0277677,1.4954051,0.0290379,1.5498201,0.0303081
岳阳市,0.0222406,1.2090889,0.0223647,1.1786396,0.0232892,1.2729979,0.0241448,1.3404135,0.0229895,1.4179519,0.0243403,1.488133,0.0251472,1.4371739,0.0251941,1.474075,0.0233001,1.6475698,0.0236068,1.8836766,0.0263986,1.8858959,0.0259949,1.9094901,0.0255981,1.9327481,0.0266526,1.956006,0.027707
河源市,0.0198629,1.087271,0.019617,1.1076223,0.0190198,1.1329234,0.0189158,1.1313546,0.018958,1.1321576,0.0197126,1.1368222,0.0221579,1.3792898,0.0223568,1.4018885,0.0223369,1.4129675,0.0244598,1.440463,0.0233716,1.4685559,0.0208945,1.4965962,0.0234881,1.5239461,0.0242406,1.5512961,0.0249931
孝感市,0.0221381,0.62773345,0.0207969,0.62965124,0.0223284,0.65291916,0.0244366,0.65550875,0.0237141,0.66979819,0.0232048,0.67028453,0.0247615,0.68822165,0.0240173,0.67482606,0.0233601,0.70242672,0.0240183,0.71408178,0.0270302,0.73371977,0.0255665,0.735323,0.0259592,0.73562666,0.0257356,0.73593033,0.025512
金华市,0.0186796,0.77993556,0.0194139,0.79606482,0.0197187,0.799469,0.0211709,0.79769734,0.0212377,0.79890211,0.0220537,0.81054252,0.0238847,0.77238298,0.0229466,0.77025532,0.0232988,0.79644092,0.0257283,0.8197474,0.0259911,0.81428028,0.0258208,0.82257114,0.026067,0.83109152,0.0260348,0.83961191,0.0260027
盘锦市,0.0185925,2.0983146,0.0173548,2.3191664,0.0180889,2.4941222,0.0185771,2.6641911,0.0176809,2.7634629,0.0192759,2.9273363,0.0220983,3.0657188,0.0218489,3.3193395,0.0213388,3.6120976,0.020996,3.955622,0.0217941,4.2638647,0.0232398,4.6372967,0.0227199,5.0109013,0.0213419,5.3845058,0.0199638
雅安市,0.0257264,2.2286279,0.0266755,2.251994,0.027226,2.2880919,0.0277215,2.31111,0.0272614,2.0770179,0.0275386,2.1417972,0.0290815,2.1899275,0.0285253,2.189459,0.0305377,2.2066086,0.0287916,2.2098446,0.0326187,2.2193802,0.0329469,2.2272785,0.0319222,2.2344928,0.0322996,2.2417071,0.0326769
亳州市,0.0253383,0.44044173,0.0252939,0.46905388,0.0241609,0.48406471,0.0251046,0.50635087,0.0225014,0.51101839,0.0220279,0.53666524,0.0235818,0.53064955,0.0237136,0.51576549,0.0244828,0.55145486,0.0236772,0.59191452,0.0240476,0.61739482,0.0235308,0.6335534,0.0229577,0.64973992,0.021785,0.66592644,0.0206123
商洛市,0.0304999,1.822721,0.0311889,1.8660468,0.0299886,1.925089,0.0279732,1.9574166,0.0269684,1.9745907,0.0268159,2.0111726,0.0262336,2.0198886,0.0253267,2.0077313,0.0260695,2.0978958,0.0258913,2.1285412,0.0281133,2.1661959,0.0288587,2.2024889,0.0294515,2.2388683,0.0302217,2.2752478,0.0309918
盐城市,0.0233243,1.206606,0.0230899,1.2529253,0.024903,1.3287492,0.0254149,1.3697924,0.0248599,1.4145016,0.024906,1.4614634,0.0262111,1.5109749,0.0259421,1.5804559,0.0265066,1.5739295,0.0265016,1.6432356,0.0271056,1.7560364,0.0274577,1.8215323,0.029199,1.8869509,0.0307119,1.9523695,0.0322248
汕头市,0.0129395,0.20734975,0.013974,0.21533229,0.0142428,0.22213363,0.0136754,0.22401461,0.0137299,0.22057105,0.0148788,0.22450032,0.0153062,0.21715993,0.0152345,0.22060028,0.0151742,0.24543517,0.0145314,0.25588669,0.0163872,0.27853787,0.0142349,0.28610906,0.0158652,0.2938551,0.01681,0.30160115,0.0177548
安顺市,0.0238839,0.77462983,0.0240254,0.83018834,0.0251,0.8734178,0.026442,0.82315551,0.0262055,0.74884272,0.027346,0.79189393,0.0286865,0.83069813,0.0285729,0.87300507,0.0287768,0.89628755,0.0285245,0.95362429,0.0288505,0.99400946,0.0289359,1.0445569,0.0301783,1.0947768,0.0315004,1.1449968,0.0328226
厦门市,0.0159253,0.99303093,0.0164356,1.0471198,0.0169313,1.0935485,0.0172933,1.1117541,0.0171446,1.0673367,0.0182621,1.0724339,0.0189784,1.0237512,0.0181474,1.0122304,0.018177,1.0131366,0.018838,1.0071246,0.0186334,0.99260381,0.0189187,0.9556003,0.0226497,0.92017439,0.0220499,0.88474848,0.0214502
太原市,0.0171488,0.64949992,0.0178923,0.52953558,0.0186742,0.41120281,0.018928,0.48880716,0.0194027,0.55264642,0.0197451,0.63446841,0.0207376,0.70121086,0.0212675,0.68326088,0.0211149,0.78610703,0.0210088,0.79038383,0.0215538,0.74742508,0.0223721,0.81191883,0.0229212,0.87519244,0.0264458,0.93846604,0.0299703
常德市,0.0263706,1.2495544,0.0253671,1.2541401,0.025388,1.3423203,0.0254833,1.4119469,0.0250546,1.4614429,0.0245339,1.5346794,0.0272943,1.4568838,0.0267559,1.4900681,0.0264855,1.6572079,0.0278731,1.8630634,0.0295199,1.885942,0.0288031,1.9698045,0.028382,2.053667,0.0278173,2.1375295,0.0272526
牡丹江市,0.0289159,3.1990868,0.0292024,3.4547795,0.0290735,3.5483463,0.0274488,3.5296792,0.0282371,3.7073497,0.0280081,3.7163457,0.0269036,3.5283991,0.0282339,3.4609608,0.0297206,3.6646697,0.0324863,3.7731613,0.0351975,3.934897,0.0358616,3.9460252,0.0352285,3.9571535,0.0345581,3.9682817,0.0338878
淮南市,0.0140541,1.1737421,0.0170285,1.230866,0.0163333,1.3124041,0.0183545,1.359855,0.0183713,1.3594418,0.0210566,0.90520541,0.0207647,0.90404704,0.0206589,0.91844508,0.0204332,0.97666846,0.0195977,1.0267842,0.0196452,1.049347,0.0192716,1.0569391,0.0205056,1.0639226,0.0199152,1.0709061,0.0193248
德阳市,0.0195262,0.86206144,0.0189823,0.91370982,0.0199562,0.93060156,0.0202799,0.97055664,0.0201147,0.66299509,0.0218173,0.68549261,0.0220328,0.71324095,0.021719,0.71454178,0.0224416,0.71509135,0.0212953,0.71784221,0.0225153,0.72070989,0.0219153,0.72218624,0.0230882,0.72357668,0.023566,0.72496712,0.0240439
威海市,0.0189701,1.2772045,0.018823,1.3132516,0.019644,1.3633059,0.0197826,1.404657,0.019393,1.4348453,0.0210245,1.4711036,0.0213087,1.49713,0.0214554,1.5176459,0.0218917,1.5317687,0.0224912,1.5858755,0.0233506,1.6395343,0.0244461,1.7130633,0.0267342,1.7863423,0.0267056,1.8596214,0.026677
秦皇岛市,0.0190377,1.3034569,0.0218705,1.3449975,0.0225361,1.399816,0.0227836,1.4030831,0.0245295,1.3261103,0.0238138,1.3954236,0.0236603,1.3799881,0.0244942,1.4298636,0.0240526,1.5003455,0.0250716,1.6365982,0.0267736,1.6911745,0.0267778,1.7841455,0.0270762,1.8768209,0.0272932,1.9694962,0.0275102
绍兴市,0.0185288,0.99296894,0.0195557,1.0329941,0.0199705,1.0439702,0.0209157,1.0555468,0.0213395,1.2782115,0.0228988,1.4488243,0.0234238,1.1840234,0.023045,1.1732651,0.0236854,1.2192489,0.0242594,1.244889,0.0244419,1.280708,0.0245811,1.2388822,0.0249862,1.1973785,0.0241627,1.1558747,0.0233392
阳江市,0.0233438,1.0252566,0.0225795,1.0300161,0.0215299,1.0354053,0.0217108,1.0235419,0.0207836,1.0103485,0.021328,0.99985153,0.0213878,0.98823488,0.0214551,0.98421772,0.0224114,0.9703414,0.0218915,0.95713762,0.0239496,0.94858374,0.0225104,0.93337685,0.0243984,0.9189731,0.0247151,0.90456936,0.0250356
铁岭市,0.0305173,1.0780187,0.0310414,1.147144,0.0321981,1.2311975,0.0298451,1.3085776,0.0307388,1.3898029,0.0331178,1.4984713,0.0324425,1.6216788,0.0322198,1.7811856,0.0301061,1.9681071,0.0316243,2.1839158,0.0328825,2.4243618,0.0325747,2.7017705,0.0329154,2.9802113,0.0332246,3.2586521,0.0335338
达州市,0.0223898,0.86569774,0.021987,0.89898872,0.0219589,0.90285761,0.0235486,0.93098071,0.0236532,0.7185432,0.0245556,0.74834261,0.0250001,0.78283444,0.0241279,0.78621759,0.0229061,0.92272578,0.0215368,0.99595763,0.0248378,1.054377,0.0240922,1.0957039,0.0255608,1.1269292,0.0251443,1.1581545,0.0247278
池州市,0.0226955,1.4918134,0.0222488,1.5308296,0.0229919,1.5667403,0.0239909,1.6059487,0.0226733,1.6343,0.0243383,1.6453864,0.0266381,1.6570962,0.0236282,1.6633905,0.022814,1.7158591,0.0202382,1.7583292,0.0246009,1.8008131,0.0239234,1.8260357,0.0237846,1.8512583,0.0239152,1.8764809,0.0240457
淮安市,0.0207451,1.0467461,0.021047,1.0738242,0.021278,1.1260873,0.0221153,1.1633356,0.0213497,1.1866877,0.0215098,1.2229228,0.0228236,1.2590485,0.0216639,1.3073418,0.0224747,1.3456711,0.0224418,1.4071288,0.023766,1.4582863,0.0240393,1.498317,0.0243761,1.5383896,0.0257274,1.5784622,0.0270787
遵义市,0.0270602,0.86861138,0.0273195,0.93101739,0.0269773,0.97170181,0.0308111,1.1011588,0.031834,0.95827476,0.036204,0.98231247,0.0372953,1.0180518,0.037261,1.0257809,0.0386032,1.0529143,0.0399965,1.1226486,0.0427308,1.1569511,0.0427878,1.1838904,0.0451275,1.2108001,0.047097,1.2377098,0.0490665
莆田市,0.0164362,0.5608008,0.016287,0.58289704,0.016112,0.60216278,0.0159284,0.60725126,0.0165129,0.59142583,0.0166276,0.59834303,0.0175358,0.58431142,0.0160157,0.58681336,0.0151686,0.60154914,0.0160634,0.61595696,0.0160256,0.62639311,0.0170204,0.63489924,0.0172717,0.64382471,0.0166836,0.65275019,0.0160955
南昌市,0.0182822,0.95190226,0.0196534,0.99247131,0.0206931,1.0500435,0.0203286,1.0850168,0.0201215,1.0993111,0.020404,1.1534414,0.0214003,1.1517083,0.0215605,1.1553657,0.0217623,1.2332899,0.0225196,1.3694204,0.0234724,1.4351039,0.0240166,1.398574,0.0270492,1.3626464,0.0287605,1.3267188,0.0304717
佛山市,0.0172763,0.57773635,0.0165879,0.60164487,0.0169424,0.60744692,0.0175992,0.6162745,0.0169332,0.58820736,0.0179151,0.58483959,0.0183263,0.54566024,0.0187706,0.52328479,0.0189415,0.52998746,0.0185907,0.50882036,0.0186105,0.49749338,0.0194574,0.46999325,0.0238344,0.44510817,0.0253831,0.42022308,0.0269317
大同市,0.0194023,0.8228539,0.0210352,0.85313682,0.0199344,0.84442825,0.0199042,0.86250665,0.0210378,0.91140566,0.024253,0.92520678,0.0249511,0.8818827,0.0241414,0.89551462,0.0250824,0.89914981,0.025795,0.99196545,0.0261253,1.0801437,0.0274146,1.1135227,0.0276381,1.146895,0.0276112,1.1802673,0.0275843
昆明市,0.021086,0.99331311,0.0223549,1.0783944,0.0231361,1.1412359,0.0238184,1.1829622,0.0237552,1.2016651,0.0237079,1.2632989,0.0245354,1.2696917,0.0257318,1.2433608,0.0258601,1.370706,0.0259248,1.4818349,0.0261012,1.51931,0.0277436,1.5595538,0.0313913,1.5991332,0.033587,1.6387126,0.0357827
张家界市,0.0215682,1.3237607,0.0210776,1.3345957,0.0212657,1.3510305,0.0208891,1.5502028,0.0232748,1.4170876,0.0227249,1.4701876,0.0228763,1.4877793,0.0214272,1.5046221,0.0221856,1.6261119,0.0233979,1.7595346,0.0265848,1.7720663,0.0249087,1.7805381,0.0227834,1.7888001,0.0228534,1.7970621,0.0229235
泸州市,0.0185577,0.73338448,0.0183065,0.76629764,0.0186669,0.78434428,0.0198135,0.80333481,0.0190096,0.62319914,0.0205255,0.6455071,0.0215026,0.65063701,0.0202956,0.6378672,0.0206126,0.63701499,0.0202603,0.63821894,0.0208047,0.63852252,0.0218448,0.64388796,0.0216802,0.64921608,0.0225108,0.65454421,0.0233413
沈阳市,0.025875,0.84587353,0.0268383,0.88694604,0.0280628,0.92415844,0.0259417,0.94348942,0.025953,0.93851915,0.027083,0.95274582,0.0278406,0.94040601,0.0277411,0.95083341,0.0271987,0.96055471,0.0279041,0.95035347,0.0280421,1.0472909,0.0288108,1.0522155,0.0290842,1.0576475,0.0326074,1.0630796,0.0361305
邯郸市,0.0232154,0.75180794,0.0213429,0.77944398,0.0222144,0.81995418,0.0219001,0.82758555,0.0222933,0.78044727,0.0237189,0.75886833,0.0224649,0.59762227,0.0242647,0.60127971,0.0232837,0.64823469,0.0231729,0.70858568,0.0238375,0.73607561,0.0251059,0.76010054,0.0252881,0.78413161,0.026213,0.80816268,0.0271379
马鞍山市,0.0162832,1.6074236,0.0165336,1.6227521,0.0169205,1.6998535,0.0175338,1.7661048,0.0176464,1.7429361,0.0182286,1.7534844,0.0196209,1.8248832,0.0192314,1.8330918,0.0197239,1.8417548,0.019491,1.9456392,0.0210836,1.9138477,0.020836,1.9500904,0.0207906,1.986333,0.0213209,2.0225756,0.0218513
日照市,0.0169106,0.60842076,0.0172573,0.66401341,0.0176248,0.67568295,0.0182374,0.6804288,0.0174118,0.65986652,0.0190778,0.66628154,0.0200367,0.66123503,0.0189239,0.665312,0.0196437,0.67789664,0.0194302,0.6628769,0.0225473,0.7317059,0.021729,0.72237407,0.0225807,0.71350916,0.0226756,0.70464425,0.0227705
三亚市,0.0180115,2.997786,0.0173576,3.060156,0.0178198,4.25007,0.0176574,3.602544,0.0179418,3.860076,0.0181767,4.176018,0.018623,4.643166,0.017957,5.110314,0.0169495,5.74893,0.0172253,4.531296,0.0179415,5.267394,0.0186151,6.003492,0.0216753,6.73959,0.0219532,7.475688,0.0222272
十堰市,0.0228309,1.7299245,0.0233643,1.7960277,0.0244176,1.8865227,0.0249676,1.9586291,0.0271674,2.1118465,0.0267233,2.2013492,0.0269572,2.2682372,0.0278139,2.4121666,0.0252711,2.5739773,0.0256582,2.7548384,0.0271215,2.9668837,0.0283627,3.2182934,0.027417,3.4693243,0.0308206,3.7203551,0.0342242
